Titulos	Texto	Entidades
Açúcar de frutas e aplicação em bolos como substituto da sacarose	O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção, produtos e serviços de forma sustentável a partir de recursos de base biológica com papel importante no desenvolvimento econômico do Brasil, dessa maneira, contribui para os Objetivos de Desenvolvimento Sustentável (ODS) estabelecidos pela Organização das Nações Unidas (ONU) especialmente no âmbito do Objetivo 12 (Assegurar padrões de produção e de consumo sustentáveis). Diante desse cenário, a presenta proposta buscará desenvolver e produzir frutose em pó  que substitua a sacarose para atender o mercado de indústrias de alimentos.	Inovações tecnológicas, Organização das Nações Unidas (ONU), Brasil, Objetivos de Desenvolvimento Sustentável (ODS), Objetivo 12
Desenvolver uma linha de farofas com castanhas brasileiras e adição de proteína animal	O uso de inovações tecnológicas auxilia as indústrias a desenvolverem modelos sustentáveis de produção, destaca-se a necessidade de pesquisas com o objetivo de desenvolver produto inovador pronto para consumo, agregação de valor e diferenciação de sabores, em especial produtos oriundos das florestas brasileiras que contribuem para o desenvolvimento da bioeconomia no Brasil.  Esse estudo também se propõe a avaliar as características do novo produto para fins de informação nutricional da rotulagem e acompanhar o período de vida útil do produto. A empresa está em busca de apoio na inovação e melhoria dos processos para desenvolver uma linha de produção sustentável com o uso de castanhas brasileiras, devido a grande diversidade dessas castanhas com alto valor nutricional e com sabor, aroma e alto nível de aceitação ampliando a diversificação de produtos.	Inovações tecnológicas, Brasil, Florestas brasileiras, Bioeconomia, Empresa, Castanhas brasileiras
Desenvolvimento de cobertura líquida para sorvete	O Brasil é considerado um país com a maior biodiversidade do mundo, com diferentes espécies nos biomas da Amazônia, Mata Atlântica e Cerrado, onde são encontradas plantas frutíferas nativas e importadas que possuem características nutricionais importantes. Dessa forma, busca-se desenvolver produtos inovadores com base nessas espécies promovendo o Desenvolvimento Sustentável (DS) com benefícios ambientais, sociais e econômicos, o que contribui para o desenvolvimento da bioeconomia no Brasil. A presente proposta está diretamente ligada à utilização de processos tecnológicos/biotecnológicos para o desenvolvimento e valorização de produtos a partir de Plantas Alimentícias Não Convencionais (PANC), alimentos e nutrição humana, linhas estas, relacionados aos Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU).	Brasil, Amazônia, Mata Atlântica, Cerrado, Desenvolvimento Sustentável (DS), bioeconomia, Plantas Alimentícias Não Convencionais (PANC), Organização das Nações Unidas (ONU), Objetivos de Desenvolvimento Sustentável (ODS)
Desenvolvimento de conserva de tomate cereja	O Brasil é considerado o país com maior biodiversidade do mundo, com diferentes espécies nos biomas da Amazônia, Mata Atlântica e Cerrado, onde são encontradas plantas frutíferas nativas, que possuem características nutricionais importantes. A maior preocupação em promover o Desenvolvimento Sustentável (DS) tem levado à ascensão das inovações sustentáveis, entendidas como as que integram benefícios ambientais, sociais e econômicos, e com diferencial competitivo. Em Mato Grosso do Sul, entre os abundantes frutos nativos do Cerrado, o baru (Dipteryx alata), têm se destacado por ser fonte de renda para famílias, contribuindo para a conservação da biodiversidade. Neste sentido, através da inovação tecnológica, o objetivo da presente pesquisa é desenvolver uma conserva com espécies do Cerrado, contribuindo para o aumento da competitividade de mercado e consequente fomento da economia além da preservação ambiental.	Brasil, Amazônia, Mata Atlântica, Cerrado, Desenvolvimento Sustentável (DS), inovações sustentáveis, Mato Grosso do Sul, baru (Dipteryx alata)
Desenvolvimento de massa alimentícia enriquecida com fruto nativo do Cerrado e Pantanal	Nos últimos anos a comunidade científica tem despertado interesse na elaboração de alimentos utilizando como ingrediente a polpa desse fruto, devido à composição apresentada e com o intuito de incrementar nutricionalmente esses alimentos, agregando compostos bioativos e fibras, aliado a isso, a sociedade tem se tornado mais consciente, valorizando produtos e empresas que possuem a iniciativa de preservar os recursos naturais e estejam alinhados com os Objetivos de Desenvolvimento Sustentável (ODS) da Organização das Nações Unidas (ONU).  As massas alimentícias produzidas no Brasil são compostas majoritariamente por matérias-primas alimentícias comuns como farinha de trigo e ou farinha de trigo misturada com outras farinhas (outros cereais integrais, amidos, amidos modificados, fécula de batata, fécula de mandioca, maltodextrina, batata, mandioca, mandioquinha) e biomassa de banana verde. Esta proposta vem ao encontro dos anseios dos consumidores por alimentos mais nutritivos, com ingredientes produzidos de forma sustentável, com fibras e bioativos, que contribui para o fortalecimento da cadeia da biodiversidade brasileira, geração de renda para os extrativistas, crescimento da empresa e desenvolvimento da bioeconomia no Mato Grosso do Sul.	Brasil, Polpa, Objetivos de Desenvolvimento Sustentável (ODS), Organização das Nações Unidas (ONU), Massas alimentícias, Farinha de trigo, Cereais integrais, Fécula de batata, Fécula de mandioca, Maltodextrina, Batata, Mandioca, Mandioquinha, Biomassa de banana verde, Mato Grosso do Sul, Bioeconomia
Desenvolvimento de Mistura Instantânea (Tipo Cappuccino) vegana com extrato vegetal seco	O Estado de Mato Grosso do Sul apresenta uma grande diversidade de espécies nativas, sendo necessárias técnicas que auxiliem a valorização e preservação de seus biomas, principalmente Cerrado e Pantanal. A inclusão de produtos advindos de nossa sociobiodiversidade auxilia no desenvolvimento local, além de proporcionar a obtenção de novos produtos, com características diferenciadas e valor agregado.  Esta visão consciente, inclusiva, acolhedora e sustentável se mostra tendência para as indústrias e comércios, sendo necessário um estudo sobre os possíveis substitutos das matérias-primas de origem animal, assim como sua estabilidade e características finais no produto. Um produto natural, derivado do cacau e com ingredientes de origem vegetal derivados do bioma Cerrado e Pantanal pode ser uma opção para atender o mercado vegano e consumidores que buscam produtos saudáveis.	Mato Grosso do Sul, Cerrado, Pantanal, Sociobiodiversidade, Cacau, Bioma Cerrado, Bioma Pantanal, Mercado vegano
Desenvolvimento de mistura instantânea a base de café e cacau com ingredientes de origem vegetal	O cacau é um fruto versátil, principalmente devido ao seu sabor, muito utilizado na forma de cacau em pó, polpa de cacau, chocolates, entre outros. Além do sabor, o cacau tem várias propriedade funcionais, como antioxidantes, anti-inflamatórias, diminuição do LDL-colesterol e na queda da prevalência e incidência de doenças cardiovasculares. É comum encontrar os produtos derivados do cacau com alta concentração de aditivos e açucares, o que pode diminuir as propriedades funcionais do cacau. Dessa forma um produto natural, derivado do cacau e com ingredientes de origem vegetal derivados do bioma Cerrado e Pantanal pode ser uma opção para atender o mercado vegano e consumidores que buscam produtos saudáveis. O Estado de Mato Grosso do Sul apresenta uma grande diversidade de espécies nativas, sendo necessárias técnicas que auxiliem a valorização e preservação de seus biomas, principalmente Cerrado e Pantanal. A inclusão de produtos advindos de nossa sociobiodiversidade auxilia no desenvolvimento local, além de proporcionar a obtenção de novos produtos, com características diferenciadas e valor agregado.	Cacau, Polpa de cacau, Chocolates, Antioxidantes, Anti-inflamatórias, LDL-colesterol, Doenças cardiovasculares, Bioma Cerrado, Bioma Pantanal, Mercado vegano, Mato Grosso do Sul, Sociobiodiversidade
Uso de fungos entomopatogênicos no controle de Spodoptera frugiperda	Os fungos entomopatogênicos possuem métodos para evadir do sistema imunológico do seu hospedeiro. De forma sucinta, essa evasão pode ocorrer de três formas: tolerância às defesas imunológica dos insetos, alterações na superfície de suas células e produção de substâncias imunomoduladoras. Essas substâncias podem, por exemplo, ser supressoras do gene para peptídeos antimicrobianos (PAMs) ou podem inibir proteases.  A utilização conjunta de adjuvantes e microrganismos entomopatogênicos é capaz de auxiliar na redução da população e incidência das pragas e doenças, maximizando o potencial como agentes de controle, devido a presença de substâncias contidas nos produtos fitossanitários químicos que conseguem atuar como estressantes, favorecendo a infecção pelos microrganismos. Os produtos de baixo impacto são importantes para a agricultura não apenas pelos aspectos toxicológico e ambiental, mas também por beneficiar as culturas de suporte fitossanitário insuficiente, uma vez que esses produtos são aprovados por pragas-alvo e podem ser recomendados em qualquer cultura promovendo o desenvolvimento sustentável na produção de alimentos.  A proposta visa desenvolver um bioinsumo inovador eficiente no controle de Spodoptera frugiperda para o uso sustentável em produção agrícola, diminuindo a dependência de importação, redução de custos e produção de alimentos baseado em recursos mais sustentáveis, contribuindo para o avanço da bioeconomia.	Fungos entomopatogênicos, Sistema imunológico, Insetos, Peptídeos antimicrobianos (PAMs), Proteases, Microrganismos entomopatogênicos, Produtos fitossanitários químicos, Spodoptera frugiperda, Bioinsumo, Bioeconomia
Uso de fungos no controle de Spodoptera frugiperda	O objetivo deste projeto encontra-se em consonância com itens 6, 11, e 12 da ODS devido a produção de alimentos mais saudáveis sem resíduos químicos utilizando-se microrganismos entomopatogênicos para manejo das lagartas, consequentemente obterá a produção responsável e comunidades sustentáveis com menor impacto no meio ambiente. A consolidação de uma rede de pesquisa no desenvolvimento e na inovação de controle biológico poderá promover ações empreendedoras para o setor agrícola e novos modelos de negócios em parcerias público-privadas. Aliado a isso, professores e pesquisadores da instituição de ensino se aproximarão mais das indústrias e do setor produtivo, estreitarndo o relacionamento entre indústria e Universidade, unindo os conhecimentos gerados através da pesquisa inovadora e transferindo para os produtores de alimento, contribuindo para o avanço bioeconômico do país.	Objetivos de Desenvolvimento Sustentável (ODS), Microrganismos entomopatogênicos, Lagartas, Produção responsável, Comunidades sustentáveis, Meio ambiente, Controle biológico, Setor agrícola, Parcerias público-privadas, Universidade, Pesquisa inovadora, Produtores de alimento, Bioeconomia
Vida útil de castanha de baru torrada acondicionada em embalagens herméticas e uso sílica	Desenvolver e avaliar revestimentos biodegradáveis e comestíveis e garantir a qualidade de castanhas de baru torradas	Revestimentos biodegradáveis, Revestimentos comestíveis, Castanhas de baru, Qualidade, Castanhas de baru torradas
